edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
59,1357,14,-122.4136195,37.8056285,-122.413529,37.8051503,-122.41357425,37.805389399999996
60,2018,14,-122.4134294,37.804684,-122.413529,37.8051503,-122.4134792,37.80491715
61,14,2018,-122.413529,37.8051503,-122.4134294,37.804684,-122.4134792,37.80491715
62,15,16,-122.386139,37.723583,-122.386628,37.72304,-122.3863835,37.723311499999994
63,16,15,-122.386628,37.72304,-122.386139,37.723583,-122.3863835,37.723311499999994
64,16,800,-122.386628,37.72304,-122.388515,37.7241122,-122.3875715,37.7235761
65,800,16,-122.388515,37.7241122,-122.386628,37.72304,-122.3875715,37.7235761
66,7954,16,-122.3854326,37.7223841,-122.386628,37.72304,-122.3860303,37.72271205
67,16,7954,-122.386628,37.72304,-122.3854326,37.7223841,-122.3860303,37.72271205
68,17,803,-122.388419,37.7212302,-122.3901961,37.7222322,-122.38930755,37.7217312
69,803,17,-122.3901961,37.7222322,-122.388419,37.7212302,-122.38930755,37.7217312
70,804,18,-122.3907642,37.7216048,-122.3894613,37.7199375,-122.39011275,37.720771150000004
71,18,804,-122.3894613,37.7199375,-122.3907642,37.7216048,-122.39011275,37.720771150000004
72,18,805,-122.3894613,37.7199375,-122.3913223,37.7209788,-122.3903918,37.72045815
73,805,18,-122.3913223,37.7209788,-122.3894613,37.7199375,-122.3903918,37.72045815
74,18,19,-122.3894613,37.7199375,-122.39002,37.719298,-122.38974065,37.71961775
75,19,18,-122.39002,37.719298,-122.3894613,37.7199375,-122.38974065,37.71961775
76,18,5419,-122.3894613,37.7199375,-122.3891202,37.7196961,-122.38929074999999,37.719816800000004
77,2328,19,-122.3868718,37.7175052,-122.39002,37.719298,-122.3884459,37.7184016
78,19,2328,-122.39002,37.719298,-122.3868718,37.7175052,-122.3884459,37.7184016
79,19,806,-122.39002,37.719298,-122.39187,37.720349,-122.390945,37.719823500000004
80,806,19,-122.39187,37.720349,-122.39002,37.719298,-122.390945,37.719823500000004
81,19,20,-122.39002,37.719298,-122.390564,37.718688,-122.390292,37.718993
82,20,19,-122.390564,37.718688,-122.39002,37.719298,-122.390292,37.718993
83,20,807,-122.390564,37.718688,-122.392418,37.71974,-122.391491,37.719214
84,807,20,-122.392418,37.71974,-122.390564,37.718688,-122.391491,37.719214
85,20,21,-122.390564,37.718688,-122.391135,37.7180602,-122.3908495,37.7183741
86,21,20,-122.391135,37.7180602,-122.390564,37.718688,-122.3908495,37.7183741
87,6511,20,-122.3900046,37.7183391,-122.390564,37.718688,-122.39028429999999,37.71851355
88,20,6511,-122.390564,37.718688,-122.3900046,37.7183391,-122.39028429999999,37.71851355
89,21,7740,-122.391135,37.7180602,-122.3915575,37.7175683,-122.39134625,37.71781425
90,7740,21,-122.3915575,37.7175683,-122.391135,37.7180602,-122.39134625,37.71781425
91,21,1795,-122.391135,37.7180602,-122.3920565,37.7185891,-122.39159575,37.71832465
92,1795,21,-122.3920565,37.7185891,-122.391135,37.7180602,-122.39159575,37.71832465
93,2602,21,-122.3892847,37.7169629,-122.391135,37.7180602,-122.39020985,37.71751155
94,21,2602,-122.391135,37.7180602,-122.3892847,37.7169629,-122.39020985,37.71751155
95,7740,22,-122.3915575,37.7175683,-122.391593,37.7175125,-122.39157525,37.717540400000004
96,22,7740,-122.391593,37.7175125,-122.3915575,37.7175683,-122.39157525,37.717540400000004
97,22,59,-122.391593,37.7175125,-122.3900339,37.7161347,-122.39081345,37.7168236
98,59,22,-122.3900339,37.7161347,-122.391593,37.7175125,-122.39081345,37.7168236
99,60,22,-122.3924653,37.7178997,-122.391593,37.7175125,-122.39202915,37.7177061
100,22,60,-122.391593,37.7175125,-122.3924653,37.7178997,-122.39202915,37.7177061
101,9207,22,-122.3920687,37.7169524,-122.391593,37.7175125,-122.39183084999999,37.71723245
102,22,9207,-122.391593,37.7175125,-122.3920687,37.7169524,-122.39183084999999,37.71723245
103,23,24,-122.381564,37.728678,-122.382126,37.728051,-122.381845,37.7283645
104,24,23,-122.382126,37.728051,-122.381564,37.728678,-122.381845,37.7283645
105,23,791,-122.381564,37.728678,-122.383431,37.729738,-122.3824975,37.729208
106,791,23,-122.383431,37.729738,-122.381564,37.728678,-122.3824975,37.729208
107,6368,23,-122.3800251,37.7278041,-122.381564,37.728678,-122.38079454999999,37.72824105
108,23,6368,-122.381564,37.728678,-122.3800251,37.7278041,-122.38079454999999,37.72824105
109,24,25,-122.382126,37.728051,-122.382687,37.727425,-122.3824065,37.727738
110,25,24,-122.382687,37.727425,-122.382126,37.728051,-122.3824065,37.727738
111,24,792,-122.382126,37.728051,-122.383994,37.729112,-122.38306,37.728581500000004
112,792,24,-122.383994,37.729112,-122.382126,37.728051,-122.38306,37.728581500000004
113,2229,24,-122.3817151,37.7278135,-122.382126,37.728051,-122.38192054999999,37.72793225
114,24,2229,-122.382126,37.728051,-122.3817151,37.7278135,-122.38192054999999,37.72793225
115,25,26,-122.382687,37.727425,-122.383248,37.726798,-122.3829675,37.7271115
116,26,25,-122.383248,37.726798,-122.382687,37.727425,-122.3829675,37.7271115
117,25,793,-122.382687,37.727425,-122.384556,37.728486,-122.3836215,37.72795549999999
118,793,25,-122.384556,37.728486,-122.382687,37.727425,-122.3836215,37.72795549999999
119,4118,25,-122.3823643,37.7272499,-122.382687,37.727425,-122.38252565,37.72733744999999
120,25,4118,-122.382687,37.727425,-122.3823643,37.7272499,-122.38252565,37.72733744999999
121,26,27,-122.383248,37.726798,-122.38381,37.726171,-122.383529,37.7264845
122,27,26,-122.38381,37.726171,-122.383248,37.726798,-122.383529,37.7264845
123,26,794,-122.383248,37.726798,-122.385119,37.72786,-122.3841835,37.727329
124,794,26,-122.385119,37.72786,-122.383248,37.726798,-122.3841835,37.727329
125,5965,26,-122.381377,37.725736,-122.383248,37.726798,-122.3823125,37.726267
126,26,5965,-122.383248,37.726798,-122.381377,37.725736,-122.3823125,37.726267
127,1259,27,-122.381939,37.725108,-122.38381,37.726171,-122.3828745,37.7256395
128,27,1259,-122.38381,37.726171,-122.381939,37.725108,-122.3828745,37.7256395
129,27,795,-122.38381,37.726171,-122.385682,37.727233,-122.384746,37.726702
130,795,27,-122.385682,37.727233,-122.38381,37.726171,-122.384746,37.726702
131,28,797,-122.3851264,37.7250218,-122.386828,37.7259918,-122.3859772,37.725506800000005
132,797,28,-122.386828,37.7259918,-122.3851264,37.7250218,-122.3859772,37.725506800000005
133,29,30,-122.3770005,37.7335986,-122.3776537,37.7330737,-122.3773271,37.73333615
134,30,29,-122.3776537,37.7330737,-122.3770005,37.7335986,-122.3773271,37.73333615
135,29,9472,-122.3770005,37.7335986,-122.3768876,37.7327028,-122.37694404999999,37.733150699999996
136,9472,29,-122.3768876,37.7327028,-122.3770005,37.7335986,-122.37694404999999,37.733150699999996
137,2413,29,-122.3791187,37.7376899,-122.3770005,37.7335986,-122.3780596,37.73564425
138,29,2413,-122.3770005,37.7335986,-122.3791187,37.7376899,-122.3780596,37.73564425
139,30,5061,-122.3776537,37.7330737,-122.378354,37.73347,-122.37800385,37.733271849999994
140,5061,30,-122.378354,37.73347,-122.3776537,37.7330737,-122.37800385,37.733271849999994
141,9472,30,-122.3768876,37.7327028,-122.3776537,37.7330737,-122.37727065,37.73288825
142,30,9472,-122.3776537,37.7330737,-122.3768876,37.7327028,-122.37727065,37.73288825
143,31,8661,-122.4687333,37.752212,-122.4690369,37.7509076,-122.4688851,37.751559799999995
144,8661,31,-122.4690369,37.7509076,-122.4687333,37.752212,-122.4688851,37.751559799999995
145,3232,31,-122.4691197,37.7529373,-122.4687333,37.752212,-122.4689265,37.75257465
146,31,3232,-122.4687333,37.752212,-122.4691197,37.7529373,-122.4689265,37.75257465
147,31,4347,-122.4687333,37.752212,-122.4676348,37.7516387,-122.46818404999999,37.75192535
148,4347,31,-122.4676348,37.7516387,-122.4687333,37.752212,-122.46818404999999,37.75192535
149,8661,32,-122.4690369,37.7509076,-122.4690178,37.7508087,-122.46902735,37.75085815
150,32,8661,-122.4690178,37.7508087,-122.4690369,37.7509076,-122.46902735,37.75085815
