section_id,s_node,e_node,length
278,30085,69,252.896
279,69,30085,252.896
280,30090,69,20.445
281,70,2533,125.385
282,2532,70,388.898
283,71,3550,902.635
284,90,71,1525.0469999999998
285,2534,71,241.242
286,72,27323,1708.4000000000003
287,3555,72,293.194
288,18438,72,289.367
289,73,1648,101.449
290,13580,73,354.886
291,27323,73,583.298
292,74,5108,3033.9680000000003
293,653,74,379.34800000000007
294,657,74,628.7760000000001
295,75,41193,237.1560000000001
296,75,1949,489.38700000000006
297,11588,75,483.14
298,76,77,76.621
299,1673,76,95.893
300,41375,76,99.89900000000002
301,77,1669,90.28900000000002
302,77,1668,99.461
303,32850,78,58.931
304,78,32850,58.931
305,78,11558,100.302
306,11558,78,100.302
307,38890,78,32.07
308,26378,79,482.106
309,79,26378,482.106
310,79,28048,93.278
311,27656,79,94.041
312,80,1255,216.653
313,80,5559,111.497
314,42712,80,38.081
315,81,5853,174.56300000000002
316,81,82,52.697
317,83,81,54.085
318,82,5667,98.418
319,82,30341,36.043
320,3047,82,107.396
321,750,83,117.879
322,37116,83,840.431
323,41518,83,36.118
324,84,3243,29.089
325,3239,84,73.24600000000001
326,84,3239,73.24600000000001
327,30341,84,124.428
328,85,2928,101.977
329,2799,85,68.204
330,3241,85,94.7
331,86,87,64.491
332,2462,86,30.164
333,5849,86,36.515
334,87,3714,108.42499999999998
335,3584,87,24.946
336,88,16593,1751.034
337,1113,88,860.1640000000001
338,18223,88,482.1669999999999
339,89,21752,1408.374
340,12801,89,887.3729999999998
341,12803,89,568.719
342,90,2532,361.891
343,21758,90,1064.1999999999998
344,91,12801,2979.2019999999998
345,16593,91,529.8670000000001
346,16594,91,160.669
347,92,344,287.723
348,92,25786,3466.126000000001
349,93,29686,129.349
350,29686,93,129.349
351,93,36243,71.786
352,36243,93,71.786
353,29787,93,74.571
354,93,29787,74.571
355,94,29789,73.251
356,29789,94,73.251
357,94,29745,241.551
358,29745,94,244.021
359,95,29828,68.593
360,29828,95,68.593
361,95,36229,95.236
362,36229,95,95.236
363,29789,95,115.196
364,95,29789,115.196
365,96,1173,69.263
366,29827,96,1029.656
367,96,29827,1029.656
368,1172,96,51.17
369,97,4632,436.9830000000001
370,4632,97,436.9830000000001
371,97,107,47.66
372,97,25831,34.391
373,25831,97,34.391
374,98,13770,43.606
375,13770,98,43.606
376,98,4987,17.523
377,98,4960,141.55800000000002
378,14974,98,374.1039999999999
379,38489,99,51.145
380,99,38489,51.145
381,99,28197,25.801
382,22407,99,36.757
383,100,360,80.624
384,22411,100,42.444
385,100,22411,42.444
386,100,358,117.219
387,358,100,117.219
388,101,6137,35.385000000000005
389,101,6136,55.81600000000001
390,22383,101,46.98
391,102,24008,43.478
392,24008,102,43.478
393,43755,102,72.50800000000001
394,102,43755,72.50800000000001
395,30204,102,68.241
396,103,31125,5.868
397,31125,103,5.868
398,104,319,28.913000000000004
399,104,29604,20.542
400,29602,104,28.308
401,29606,104,69.425
402,105,31269,35.141
403,31269,105,35.141
404,105,5570,243.0070000000001
405,168,105,138.72299999999998
406,105,168,138.72299999999998
407,105,106,152.20499999999998
408,106,105,152.20499999999998
409,106,5533,88.355
410,5536,106,88.233
411,107,25831,21.347
412,107,11022,298.51500000000004
413,11022,107,298.51500000000004
414,108,4978,34.748000000000005
415,108,32929,121.774
416,32929,108,121.774
417,4981,108,43.714
418,109,110,127.051
419,110,109,127.051
420,109,14966,15.297
421,14966,109,15.297
422,14965,109,79.259
423,109,14965,79.259
424,111,112,188.889
425,112,111,188.889
426,111,14962,50.439
427,14962,111,59.255
428,112,113,52.781
429,4983,112,57.245000000000005
430,113,4983,104.33
431,113,14967,143.441
432,14967,113,143.441
433,114,14973,152.065
434,114,4963,18.424
435,114,14974,101.481
436,13769,114,71.152
437,22496,115,55.94
438,115,22496,55.94
439,115,22408,72.342
440,115,38489,58.137
441,38489,115,58.137
442,116,372,306.669
443,116,537,405.061
444,42575,116,127.32000000000004
445,117,22494,31.925
446,22404,117,731.0730000000001
447,22408,117,25.861
448,118,16135,144.613
449,118,23755,96.354
450,23862,119,30.811
451,119,23862,30.811
452,119,2072,61.016
453,120,21439,66.603
454,40195,120,28.479
455,120,40195,28.479
456,21688,120,74.54100000000001
457,121,21688,8.13
458,121,31322,45.661
459,122,121,84.88300000000001
460,122,127,56.223
461,123,122,86.356
462,124,123,43.88
463,234,123,46.4
464,124,234,46.27
465,125,124,14.929
466,126,125,80.979
467,37916,125,135.712
468,21443,126,68.652
469,42402,126,50.54899999999999
470,127,21443,15.553
471,31322,127,27.007
472,128,16138,40.637
473,16138,128,40.637
474,6012,128,47.401
475,129,153,25.609
476,129,24281,158.339
477,3094,129,14.446
478,13680,129,64.606
479,130,1532,44.367
480,3903,130,20.18
481,23901,130,36.83800000000001
482,131,404,39.637
483,131,3362,65.887
484,132,43756,8.58
485,132,28763,86.895
486,43757,132,169.645
487,133,4934,82.187
488,133,3904,25.307
489,28764,133,125.903
490,134,41598,18.411
491,134,2018,75.161
492,2018,134,75.161
493,37867,134,14.653
494,135,136,67.837
495,2018,135,115.866
496,135,2018,115.866
497,23515,135,17.643
498,135,23515,17.643
499,13760,135,110.129
500,136,137,12.228
501,136,28391,86.96000000000001
502,137,31394,32.999
503,137,18795,97.10599999999998
504,138,139,121.319
505,140,138,126.379
506,31394,138,30.719
507,139,3068,18.833
508,139,3073,74.213
509,3073,139,74.213
510,2017,139,24.491
511,140,36662,18.244
512,36662,140,18.244
513,3073,140,149.643
514,140,3073,149.643
515,141,23515,70.137
516,141,2020,29.663
517,2020,141,29.663
518,141,18795,64.00399999999999
