edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
63,14,1993,12.4625957,41.8996836,12.4625328,41.8995012,12.46256425,41.8995924
64,381,14,12.4622985,41.8996206,12.4625957,41.8996836,12.462447099999999,41.8996521
65,22405,14,12.4626738,41.899903,12.4625957,41.8996836,12.46263475,41.8997933
66,15,43760,12.4632176,41.9010886,12.4631667,41.9010318,12.463192150000001,41.9010602
67,15,43760,12.4632176,41.9010886,12.4631667,41.9010318,12.463192150000001,41.9010602
68,2557,15,12.4638361,41.9016527,12.4632176,41.9010886,12.463526850000001,41.901370650000004
69,42651,15,12.46362,41.9014474,12.4632176,41.9010886,12.4634188,41.901268
70,16,31802,12.467407,41.9005531,12.4676676,41.9007243,12.4675373,41.9006387
71,16,20,12.467407,41.9005531,12.4684567,41.8991995,12.46793185,41.8998763
72,6006,16,12.4672745,41.9007058,12.467407,41.9005531,12.46734075,41.90062945
73,17,6006,12.4667282,41.9012216,12.4672745,41.9007058,12.46700135,41.9009637
74,17,37984,12.4667282,41.9012216,12.4715989,41.9020984,12.469163550000001,41.90166
75,6007,17,12.4662074,41.9011963,12.4667282,41.9012216,12.4664678,41.90120895
76,18,30067,12.4666911,41.8986561,12.4664309,41.8994366,12.466561,41.89904635
77,32,18,12.4674291,41.8977784,12.4666911,41.8986561,12.467060100000001,41.89821725
78,3648,18,12.4672807,41.8989284,12.4666911,41.8986561,12.466985900000001,41.89879225
79,19,16202,12.4652611,41.9004539,12.4651284,41.9005518,12.465194749999998,41.90050285
80,28441,19,12.4655485,41.900269,12.4652611,41.9004539,12.4654048,41.900361450000005
81,28444,19,12.4655069,41.900219,12.4652611,41.9004539,12.465384,41.90033645
82,20,31692,12.4684567,41.8991995,12.4662455,41.8997658,12.4673511,41.899482649999996
83,21,20,12.4695763,41.8988839,12.4684567,41.8991995,12.4690165,41.8990417
84,21,22,12.4695763,41.8988839,12.4722018,41.8977238,12.47088905,41.898303850000005
85,10731,21,12.4693528,41.8979691,12.4695763,41.8988839,12.46946455,41.8984265
86,22,21504,12.4722018,41.8977238,12.4725407,41.9002964,12.47237125,41.8990101
87,22,23,12.4722018,41.8977238,12.4727302,41.8971855,12.472466,41.89745465
88,23,26009,12.4727302,41.8971855,12.4725418,41.8969715,12.472636000000001,41.8970785
89,26008,23,12.4728305,41.8968872,12.4727302,41.8971855,12.47278035,41.89703635
90,24,37,12.4733201,41.8966629,12.4740555,41.8965332,12.4736878,41.89659805
91,37,24,12.4740555,41.8965332,12.4733201,41.8966629,12.4736878,41.89659805
92,24,30205,12.4733201,41.8966629,12.4731625,41.8967575,12.473241300000002,41.8967102
93,30204,24,12.4730425,41.896736,12.4733201,41.8966629,12.4731813,41.89669945
94,26,25,12.4693827,41.8976445,12.470083,41.897481,12.46973285,41.89756275
95,25,26,12.470083,41.897481,12.4693827,41.8976445,12.46973285,41.89756275
96,25,24380,12.470083,41.897481,12.4722768,41.8969808,12.4711799,41.8972309
97,24380,25,12.4722768,41.8969808,12.470083,41.897481,12.4711799,41.8972309
98,26001,25,12.4698944,41.8971072,12.470083,41.897481,12.4699887,41.897294099999996
99,30336,25,12.4701075,41.8975342,12.470083,41.897481,12.47009525,41.8975076
100,26,10732,12.4693827,41.8976445,12.4691847,41.8977038,12.4692837,41.89767415
101,10732,26,12.4691847,41.8977038,12.4693827,41.8976445,12.4692837,41.89767415
102,26,10731,12.4693827,41.8976445,12.4693528,41.8979691,12.46936775,41.8978068
103,31,26,12.4691615,41.8972576,12.4693827,41.8976445,12.469272100000001,41.89745105
104,27,26003,12.4669717,41.8975097,12.4675424,41.896896,12.46725705,41.89720285
105,32,27,12.4674291,41.8977784,12.4669717,41.8975097,12.4672004,41.89764405
106,6018,27,12.4667301,41.8977704,12.4669717,41.8975097,12.4668509,41.89764005
107,28,29,12.4676135,41.8968207,12.4680257,41.8973594,12.4678196,41.89709005
108,28,21865,12.4676135,41.8968207,12.4692019,41.8950646,12.4684077,41.895942649999995
109,26003,28,12.4675424,41.896896,12.4676135,41.8968207,12.467577949999999,41.89685835
110,29,26000,12.4680257,41.8973594,12.467914,41.8973995,12.46796985,41.89737945
111,29,26003,12.4680257,41.8973594,12.4675424,41.896896,12.467784049999999,41.8971277
112,30,29,12.4685882,41.8972997,12.4680257,41.8973594,12.468306949999999,41.897329549999995
113,21866,29,12.4699979,41.8955089,12.4680257,41.8973594,12.4690118,41.896434150000005
114,31,30,12.4691615,41.8972576,12.4685882,41.8972997,12.468874849999999,41.897278650000004
115,26002,30,12.4689001,41.8978129,12.4685882,41.8972997,12.46874415,41.8975563
116,26001,31,12.4698944,41.8971072,12.4691615,41.8972576,12.46952795,41.897182400000005
117,26000,32,12.467914,41.8973995,12.4674291,41.8977784,12.46767155,41.89758895
118,21504,33,12.4725407,41.9002964,12.4726864,41.9004415,12.47261355,41.90036895
119,33,21504,12.4726864,41.9004415,12.4725407,41.9002964,12.47261355,41.90036895
120,33,26442,12.4726864,41.9004415,12.4723995,41.9008982,12.472542950000001,41.90066985
121,26442,33,12.4723995,41.9008982,12.4726864,41.9004415,12.472542950000001,41.90066985
122,33,25608,12.4726864,41.9004415,12.4732819,41.9004453,12.47298415,41.9004434
123,25608,33,12.4732819,41.9004453,12.4726864,41.9004415,12.47298415,41.9004434
124,34,16136,12.473814,41.9002227,12.473839,41.9000773,12.473826500000001,41.90015
125,31395,34,12.4737199,41.9004407,12.473814,41.9002227,12.473766950000002,41.900331699999995
126,34,31395,12.473814,41.9002227,12.4737199,41.9004407,12.473766950000002,41.900331699999995
127,26016,35,12.474221,41.8965179,12.4744851,41.8964934,12.474353050000001,41.896505649999995
128,35,26016,12.4744851,41.8964934,12.474221,41.8965179,12.474353050000001,41.896505649999995
129,35,26017,12.4744851,41.8964934,12.4745686,41.8967369,12.47452685,41.89661515
130,35,2013,12.4744851,41.8964934,12.4746949,41.8964723,12.47459,41.89648285
131,2013,35,12.4746949,41.8964723,12.4744851,41.8964934,12.47459,41.89648285
132,36,6176,12.4758502,41.8963102,12.4760299,41.8962493,12.47594005,41.896279750000005
133,6176,36,12.4760299,41.8962493,12.4758502,41.8963102,12.47594005,41.896279750000005
134,2013,36,12.4746949,41.8964723,12.4758502,41.8963102,12.47527255,41.89639125
135,36,2013,12.4758502,41.8963102,12.4746949,41.8964723,12.47527255,41.89639125
136,31702,36,12.4756326,41.8981193,12.4758502,41.8963102,12.4757414,41.89721475
137,37,26016,12.4740555,41.8965332,12.474221,41.8965179,12.47413825,41.89652555
138,26016,37,12.474221,41.8965179,12.4740555,41.8965332,12.47413825,41.89652555
139,3566,37,12.4735377,41.8959656,12.4740555,41.8965332,12.4737966,41.8962494
140,659,38,12.4754432,41.9048992,12.4750844,41.9049233,12.4752638,41.90491125
141,38,659,12.4750844,41.9049233,12.4754432,41.9048992,12.4752638,41.90491125
142,38,4941,12.4750844,41.9049233,12.4747708,41.9075953,12.474927600000001,41.9062593
143,38,2912,12.4750844,41.9049233,12.4753858,41.9046471,12.475235099999999,41.9047852
144,28438,38,12.4735134,41.9050357,12.4750844,41.9049233,12.4742989,41.904979499999996
145,38,28438,12.4750844,41.9049233,12.4735134,41.9050357,12.4742989,41.904979499999996
146,31812,38,12.4740483,41.9033674,12.4750844,41.9049233,12.47456635,41.90414535
147,39,40,12.4952304,41.902029,12.494543,41.9015887,12.4948867,41.901808849999995
148,39,1530,12.4952304,41.902029,12.4962757,41.902462,12.495753050000001,41.9022455
149,39,26157,12.4952304,41.902029,12.4948366,41.9026024,12.4950335,41.9023157
150,284,39,12.4962519,41.9005273,12.4952304,41.902029,12.49574115,41.901278149999996
151,32933,39,12.4956832,41.9023669,12.4952304,41.902029,12.4954568,41.90219795
152,32933,39,12.4956832,41.9023669,12.4952304,41.902029,12.4954568,41.90219795
153,40,41,12.494543,41.9015887,12.4938275,41.9011203,12.494185250000001,41.9013545
154,40,28250,12.494543,41.9015887,12.4941354,41.9021381,12.494339199999999,41.901863399999996
155,40,3359,12.494543,41.9015887,12.4955701,41.9001561,12.495056550000001,41.9008724
156,41,3361,12.4938275,41.9011203,12.4953662,41.9000194,12.49459685,41.90056985
157,41,42,12.4938275,41.9011203,12.4930978,41.9006435,12.49346265,41.9008819
158,26156,41,12.49324,41.9015497,12.4938275,41.9011203,12.493533750000001,41.901335
159,41,26156,12.4938275,41.9011203,12.49324,41.9015497,12.493533750000001,41.901335
160,42,43,12.4930978,41.9006435,12.4924963,41.9002447,12.49279705,41.9004441
161,42,3195,12.4930978,41.9006435,12.4939276,41.9001763,12.4935127,41.9004099
162,3357,42,12.4923459,41.9010647,12.4930978,41.9006435,12.492721849999999,41.900854100000004
163,43,44,12.4924963,41.9002447,12.491662,41.8996964,12.49207915,41.899970550000006
164,3194,43,12.4931818,41.8996911,12.4924963,41.9002447,12.49283905,41.8999679
165,44,45,12.491662,41.8996964,12.4903418,41.8988284,12.4910019,41.8992624
166,44,3193,12.491662,41.8996964,12.4923408,41.8991009,12.4920014,41.89939865
167,3356,44,12.4913657,41.8999563,12.491662,41.8996964,12.49151385,41.89982635
168,44,3356,12.491662,41.8996964,12.4913657,41.8999563,12.49151385,41.89982635
169,45,4932,12.4903418,41.8988284,12.4863094,41.9022577,12.4883256,41.900543049999996
170,45,46,12.4903418,41.8988284,12.4900226,41.8986141,12.4901822,41.89872125
171,3192,45,12.4910264,41.8982429,12.4903418,41.8988284,12.4906841,41.89853565
172,46,32803,12.4900226,41.8986141,12.4896547,41.8983645,12.48983865,41.8984893
173,34695,46,12.4900736,41.898455,12.4900226,41.8986141,12.4900481,41.89853455
174,47,24290,12.4880626,41.8973291,12.4868717,41.897559,12.48746715,41.897444050000004
175,47,48,12.4880626,41.8973291,12.4870163,41.8966625,12.48753945,41.8969958
176,3496,47,12.4891714,41.8960836,12.4880626,41.8973291,12.488617,41.89670635
177,30595,47,12.4892364,41.8980893,12.4880626,41.8973291,12.4886495,41.8977092
178,48,3482,12.4870163,41.8966625,12.4867825,41.89653,12.4868994,41.89659625
179,48,24346,12.4870163,41.8966625,12.4869658,41.8970826,12.48699105,41.89687255
180,24346,48,12.4869658,41.8970826,12.4870163,41.8966625,12.48699105,41.89687255
181,3484,48,12.4869613,41.8962861,12.4870163,41.8966625,12.4869888,41.896474299999994
182,49,5828,12.4998175,41.9008288,12.4997363,41.9007525,12.4997769,41.900790650000005
183,5828,49,12.4997363,41.9007525,12.4998175,41.9008288,12.4997769,41.900790650000005
184,49,1534,12.4998175,41.9008288,12.4989129,41.9016431,12.4993652,41.90123595
185,5828,50,12.4997363,41.9007525,12.4992668,41.9003165,12.49950155,41.900534500000006
186,50,5828,12.4992668,41.9003165,12.4997363,41.9007525,12.49950155,41.900534500000006
187,50,2946,12.4992668,41.9003165,12.501019,41.8992737,12.5001429,41.899795100000006
188,50,39486,12.4992668,41.9003165,12.4987063,41.8998046,12.49898655,41.900060550000006
189,39486,50,12.4987063,41.8998046,12.4992668,41.9003165,12.49898655,41.900060550000006
190,28252,50,12.4984359,41.9008082,12.4992668,41.9003165,12.498851349999999,41.90056235
191,51,52,12.4980573,41.8992075,12.4974872,41.8986723,12.49777225,41.8989399
192,52,51,12.4974872,41.8986723,12.4980573,41.8992075,12.49777225,41.8989399
193,51,39296,12.4980573,41.8992075,12.4997066,41.8981913,12.49888195,41.8986994
194,39296,51,12.4997066,41.8981913,12.4980573,41.8992075,12.49888195,41.8986994
195,39486,51,12.4987063,41.8998046,12.4980573,41.8992075,12.4983818,41.89950605
196,51,39486,12.4980573,41.8992075,12.4987063,41.8998046,12.4983818,41.89950605
197,404,51,12.4972223,41.899712,12.4980573,41.8992075,12.4976398,41.899459750000005
198,52,131,12.4974872,41.8986723,12.4969811,41.8994139,12.49723415,41.8990431
199,52,25566,12.4974872,41.8986723,12.4972218,41.8984919,12.4973545,41.8985821
